date,Global_Horizontal_Radiation,Pyranometer_1,Wind_Speed,Temperature_Probe_1,Active_Power,theta_z,gamma,omega,delta,AM,GHI_cs,kt,I0,alpha_s,DL,tnoon,Iday
2019/1/5 9:00,573.6479747,499.2443517,3.949444473,47.31075827,10.70113242,52.361378,-79.91785,-57.68143,-22.695894,1.6347239,600.9855,0.66822904,858.46014,37.638622,13.516501,12.845428,1.0
2019/1/5 10:00,759.4297638,694.2848613,4.305555483,51.95300579,13.83583625,38.92282,-84.544495,-42.68143,-22.695894,1.2842461,804.14386,0.69439226,1093.661,51.07718,13.516501,12.845428,1.0
2019/1/5 11:00,1010.857005,959.6917572,4.324722211,57.15355778,18.77541987,25.377665,-89.92657,-27.681433,-22.695894,1.1062212,958.04956,0.7958905,1270.0956,64.62234,13.516501,12.845428,1.0
2019/1/5 12:00,1069.824829,1025.858292,4.523888946,60.06255404,19.35464525,11.859576,-99.773735,-12.681433,-22.695894,1.0214384,1050.612,0.77763593,1375.74,78.14043,13.516501,12.845428,1.0
2019/1/5 13:00,1068.291372,1035.225525,4.458333274,61.72210376,19.09243155,3.3148413,139.79884,2.3185675,-22.695894,1.0013698,1074.8796,0.76121944,1403.3948,86.68516,13.516501,12.845428,1.0
2019/1/5 14:00,1003.149816,975.7336324,4.8191667,60.90146891,17.73916674,16.017033,95.54207,17.318567,-22.695894,1.039968,1029.067,0.7424276,1351.1753,73.98297,13.516501,12.845428,1.0
2019/1/5 15:00,869.2761688,840.6362152,4.295833329,60.23469098,15.14723754,29.571064,88.08777,32.31857,-22.695894,1.1490684,916.56024,0.7109828,1222.6401,60.428936,13.516501,12.845428,1.0
2019/1/5 16:00,679.7483978,647.7495372,4.078333318,56.46141624,10.76909145,43.0925,83.08577,47.31857,-22.695894,1.3679616,745.8924,0.6621685,1026.549,46.9075,13.516501,12.845428,1.0
2019/1/5 17:00,452.989975,414.6025797,4.456388891,52.53079859,6.260662635,56.48136,78.50118,62.31857,-22.695894,1.8068904,530.81616,0.58355075,776.26495,33.51864,13.516501,12.845428,1.0
2019/1/5 18:00,213.5793934,178.4493542,4.171666682,48.59010156,2.014333139,69.65041,73.734474,77.318565,-22.695894,2.8560946,291.9759,0.4369066,488.8445,20.349586,13.516501,12.845428,1.0
2019/1/5 19:00,30.95401418,21.90508577,4.079722166,45.35167599,0.193857907,82.48404,68.40348,92.318565,-22.695894,7.2532754,71.10226,0.16834278,183.87491,7.515957,13.516501,12.845428,1.0
2019/1/5 20:00,-3.778212666,-3.550439994,4.076388856,43.7429355,-0.021983867,94.80944,62.110657,107.318565,-22.695894,40.0,0.0,0.0,0.0,-4.809441,13.516501,12.845428,0.0
2019/1/5 21:00,-3.835592548,-3.613235652,3.525833348,42.78455448,-0.021838035,106.353226,54.34298,122.318565,-22.695894,40.0,0.0,0.0,0.0,-16.353224,13.516501,12.845428,0.0
2019/1/5 22:00,-3.674335659,-3.451163729,3.461666624,42.0314881,-0.02174501,116.67134,44.418915,137.31857,-22.695894,40.0,0.0,0.0,0.0,-26.671339,13.516501,12.845428,0.0
2019/1/5 23:00,-3.935308357,-3.657930573,2.723055591,41.36183898,-0.021665293,125.05633,31.571585,152.31857,-22.695894,40.0,0.0,0.0,0.0,-35.05633,13.516501,12.845428,0.0
2019/1/6 0:00,-4.036876341,-3.817060153,2.07361111,40.34029484,-0.021437073,130.58623,15.61159,-192.78836,-22.586363,40.0,0.0,0.0,0.0,-40.586224,13.508256,12.852557,0.0
2019/1/6 1:00,-3.465181192,-3.260236601,2.944166641,40.06696828,-0.021690652,132.11996,-2.7533724,-177.78836,-22.586363,40.0,0.0,0.0,0.0,-42.11997,13.508256,12.852557,0.0
2019/1/6 2:00,-3.788053056,-3.482497652,2.543055554,39.55575339,-0.021649492,129.33914,-20.686293,-162.78836,-22.586363,40.0,0.0,0.0,0.0,-39.339138,13.508256,12.852557,0.0
2019/1/6 3:00,-3.74872903,-3.462213894,2.418611089,38.97808107,-0.021700468,122.87243,-35.873158,-147.78836,-22.586363,40.0,0.0,0.0,0.0,-32.87243,13.508256,12.852557,0.0
2019/1/6 4:00,-3.767383476,-3.437812328,2.264999996,38.44933287,-0.021745408,113.79587,-47.77703,-132.78836,-22.586363,40.0,0.0,0.0,0.0,-23.795866,13.508256,12.852557,0.0
2019/1/6 5:00,-3.834282935,-3.563545525,1.771666666,37.75845242,-0.021755907,103.03396,-56.973988,-117.78836,-22.586363,40.0,0.0,0.0,0.0,-13.0339575,13.508256,12.852557,0.0
2019/1/6 6:00,44.54394171,19.5987633,3.265000026,38.37942505,0.379034167,91.20588,-64.236786,-102.78836,-22.586363,40.0,0.0,0.0,0.0,-1.2058829,13.508256,12.852557,0.0
2019/1/6 7:00,173.1502288,109.4526167,4.61611112,41.09110355,3.571164469,78.69476,-70.19815,-87.78836,-22.586363,4.9810314,130.07024,0.62835234,275.56232,11.305237,13.508256,12.852557,1.0
